id,original_title,genres1
16577,Astro Boy,Animation
4959,The International,Drama
28510,Universal Soldier: Regeneration,Adventure
13804,Fast & Furious,Action
22074,Capitalism: A Love Story,Documentary
24150,Halloween II,Horror
18126,Hannah Montana: The Movie,Comedy
15357,Banlieue 13 - Ultimatum,Action
20856,Aliens in the Attic,Adventure
21407,The Collector,Horror
31723,Women in Trouble,Comedy
22824,The Fourth Kind,Science Fiction
36691,Solitary Man,Comedy
38542,The Disappearance of Alice Creed,Crime
16558,Duplicity,Thriller
29963,Bright Star,Drama
16614,Adventureland,Comedy
12569,Extract,Comedy
34769,Defendor,Drama
10197,Nine,Drama
28089,The Messenger,Drama
19255,Away We Go,Drama
23049,My Life in Ruins,Comedy
10024,"My Sister's Keeper",Drama
17332,The Soloist,Drama
13207,Friday the 13th,Horror
15577,Crossing Over,Drama
25941,Harry Brown,Thriller
19959,Surrogates,Action
15268,Street Fighter: The Legend of Chun-Li,Action
15189,Hotel for Dogs,Comedy
17335,Obsessed,Drama
11928,Tetro,Drama
22798,Whip It,Drama
32985,Solomon Kane,Adventure
29426,Survival of the Dead,Horror
2080,X-Men Origins: Wolverine,Adventure
17532,S. Darko,Thriller
24804,Black Dynamite,Action
28053,City Island,Drama
8915,Amelia,Drama
25137,Beyond a Reasonable Doubt,Drama
14536,New in Town,Comedy
12404,Me and Orson Welles,Comedy
25132,Shorts,Comedy
26688,Sorority Row,Horror
22215,Chéri,Drama
41479,The Joneses,Comedy
17927,Fired Up!,Comedy
22717,Wanted,Action
20178,"World's Greatest Dad",Comedy
17680,The Girlfriend Experience,Comedy
25704,Post Grad,Comedy
25183,Paper Heart,Comedy
25196,Crazy Heart,Drama
38850,Stolen Lives,Crime
43937,Like Dandelion Dust,Drama
30128,I Hope They Serve Beer in Hell,Comedy
21033,Beautiful,Drama
24438,Did You Hear About The Morgans?,Comedy
1977,The Grudge 3,Horror
29150,Big Fan,Comedy
33870,"Mao's Last Dancer",Drama
42151,Down Terrace,Drama
27205,Inception,Action
10138,Iron Man 2,Adventure
12155,Alice in Wonderland,Family
44214,Black Swan,Drama
12444,Harry Potter and the Deathly Hallows: Part 1,Adventure
20352,Despicable Me,Action
27578,The Expendables,Action
10191,How to Train Your Dragon,Fantasy
11324,Shutter Island,Drama
20526,TRON: Legacy,Adventure
38757,Tangled,Animation
10193,Toy Story 3,Animation
27576,Salt,Action
44115,127 Hours,Adventure
