id,vote_average,release_year,Profit Adj,Action,Family,Adventure,Foreign,Fantasy,Documentry,Music,Drama,Crime,Comedy,History,TV_Movie,Western,Mystery,Horror,Science_Fiction,Animation,Romance,War,Thriller
10546,5.7,1996,6836094.69767165,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10547,5.7,1996,-15225136.5644658,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
10550,4.8,2002,-60705161.5423165,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10555,5.8,2004,337415551.164558,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10557,6.5,1999,31940889.4569015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10559,6.8,2000,46987345.4363845,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
10560,7,2000,-1011862.37126875,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10562,6,2000,-31327355.252681,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10567,6.1,2000,287129284.119481,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10571,5.3,2000,5859604.67373224,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
10576,6,1983,65077299.1333608,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
10577,4.7,2000,6331887.31215823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10585,6.2,1988,64898849.6701463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10586,6.3,1996,34755418.4740063,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105864,6.6,2015,144371991.716324,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10589,6,2004,1555958.04653062,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
10590,6.5,2002,48079237.2839235,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10591,6.2,2004,6246915.3218917,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10592,5.7,2002,-45717960.5981104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
106,7.1,1987,153978470.604198,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10601,6.7,2003,26048137.4079751,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10611,6.2,2002,77320022.2183268,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10623,5.9,2003,37326230.8583328,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10625,6.8,2004,129347377.007696,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10627,6.3,1981,52414985.3350632,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10629,6.7,2003,-18290088.5079113,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
10632,5.8,2003,-24615023.5387328,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
10633,7,1967,165902919.906995,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
10634,7,1995,35367659.7481327,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10637,7.3,2000,135121831.230613,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10646,4.8,2001,15308340.6104019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10647,6.8,2000,19890170.6860467,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
